,Julian day,PhyBiom,Sw,ZooBiom
411,118.0,0.008467763038982461,189330.0256597486,0.30248652646153573
412,119.0,0.009509432581596651,7508.571666103856,0.2150129494678396
413,120.0,0.010087537423056655,32253.68790176728,0.3156831898940502
414,121.0,0.010060170148314921,9842.050362664286,0.2662935948992014
415,122.0,0.013447066209897532,9442.602305109129,0.4160108933992465
416,123.0,0.013145392274520518,1596842.9754701895,0.3070641594430661
417,124.0,0.014097399460777215,11092.50711695142,0.24304035389334233
418,125.0,0.015317440761661418,36666.22363370153,0.2605241364257781
419,126.0,0.024622396193138427,23813.704214432033,0.2209091960129786
420,127.0,0.01956867654845283,8179.9962080500845,0.11548541884708094
421,128.0,0.014144781761881242,26307.0082541071,0.1345744608491347
422,129.0,0.010404327183689447,40712.1280511341,0.18285167275364617
423,130.0,0.006764829850332415,35000.17270915658,0.11264234925718378
424,131.0,0.012044140009824268,9945.929307527611,0.19851259925936884
425,132.0,0.020691517694562914,17562.63321784743,0.190446253569102
426,133.0,0.01993895401872018,9370.132546951709,0.2537234626906779
427,134.0,0.021597149351106827,16704.472548540645,0.14273900026828942
428,135.0,0.030090165125658194,11830.452171583134,0.11682031181077976
429,136.0,0.024402725252585817,26498.44285753134,0.1535276421162481
430,137.0,0.019170886752282047,32674.370395642425,0.1441815525796076
431,138.0,0.008551905516910709,54359.75916414991,0.14678154552649034
432,139.0,0.004992289319889239,83317.41264491525,0.1484147543299497
433,140.0,0.008263759264381217,58746.756317850566,0.14182044149293319
434,141.0,0.01686785448877669,597503.8886780287,0.1409932735524879
435,142.0,0.014516387276591578,31471.771472515215,0.19180201844372655
436,143.0,0.013640362846913114,172082.38517569972,0.09747125743981302
437,144.0,0.014672126040411534,19078.139120524622,0.11319212043473638
438,145.0,0.015311414771693906,94627.99078132035,0.22737484155191537
439,146.0,0.013119176593838416,99348.99898380088,0.09701916904943611
440,147.0,0.018552704830302674,882395.2339512397,0.11981555675358772
441,148.0,0.014577196598523462,912034.420845933,0.19725753817414143
442,149.0,0.02497189285057091,514743.7470705273,0.08971100548915864
443,150.0,0.041099348422155645,710355.2590846594,0.15974192392433725
444,151.0,0.05421354179295842,343773.37868115323,0.11268818362168967
445,152.0,0.06887797728536511,424441.1085500424,0.10460162345327598
446,153.0,0.05972596946949014,371977.68746430945,0.12127323721303435
447,154.0,0.06871138991883895,323098.298795245,0.19496861985809005
448,155.0,0.05248308612259957,801029.2717797252,0.08386568565792205
449,156.0,0.02044965085535495,467737.2677735112,0.13318297200266324
450,157.0,0.013099531582337731,278095.650246655,0.1371565576916538
451,158.0,0.012175463671151472,706166.2463837775,0.16544062922494965
452,159.0,0.011203322271191217,2259192.1045431057,0.11280009411240216
453,160.0,0.010360593036805789,1677652.1868145522,0.10654741188689261
454,161.0,0.011907722248122057,3628560.0193848624,0.104343887780124
455,162.0,0.012685287371807193,3294697.4883322474,0.0788173375056506
456,163.0,0.03163224087973782,2475445.408555996,0.10550128581983789
457,164.0,0.059609707032668185,3642513.5900621223,0.13201251757437832
458,165.0,0.0713773140213353,3725443.7339662476,0.13238598188360373
459,166.0,0.06558529513029263,3799770.8915585657,0.16199985709299874
460,167.0,0.06416319843132606,3439525.7649435382,0.11754863921903674
461,168.0,0.0649189627788647,3881524.6975109787,0.21327361866883307
462,169.0,0.059148411278398975,4441451.765599213,0.18064675656153187
463,170.0,0.06164882061197044,5456000.325921958,0.17585288917943098
464,171.0,0.0694755775601233,5804565.111922834,0.29275545129588726
465,172.0,0.060577865472776195,4997398.639518596,0.2007974163808234
466,173.0,0.07074651646937903,4920418.678041871,0.16012420014737222
467,174.0,0.08040484526904498,4483059.299344682,0.260804070454301
468,175.0,0.08536925993186437,3171002.1611104584,0.2895807167123941
469,176.0,0.12080197229308105,2641152.7518414375,0.22944341980552035
470,177.0,0.11540848375745771,2569665.2354995087,0.0729706642900658
471,178.0,0.0981102731732767,2234112.840346508,0.2117725846327427
472,179.0,0.08428063810459936,2845265.2975368984,0.16256078209592834
473,180.0,0.0966828470731002,2870101.261246993,0.11817085815294699
474,181.0,0.1061194501100705,2040538.5722760411,0.21000723576345728
475,182.0,0.09240671637716513,2232367.2767155496,0.07998473646687174
476,183.0,0.07875024690135017,2461499.8268388202,0.05512768446310066
477,184.0,0.14529690899585918,2752450.9789727554,0.08989652616547986
478,185.0,0.17443608456533807,2530040.3725029025,0.07623462302520136
479,186.0,0.1428200017651095,2367126.0498974803,0.09740490591892373
480,187.0,0.15492770570682657,2507537.3038568194,0.08349134021233218
481,188.0,0.1628591761435488,2459037.0907393247,0.08738662341391468
482,189.0,0.18620019789948872,2253865.082266391,0.08903003949032567
483,190.0,0.14747255773961193,1950335.9036660388,0.09657115196516386
484,191.0,0.13553212112054402,1904956.4603860367,0.07952455124531822
485,192.0,0.13826506455560122,1609474.2480641073,0.14066807862788572
486,193.0,0.14706838037247877,1436392.0399208928,0.11143226143034252
487,194.0,0.12471100641521625,1021189.6291404155,0.08185155529959504
488,195.0,0.07878680499241962,803581.303850208,0.05380817494331974
489,196.0,0.034098730477713037,530086.4165068418,0.07030545992274437
490,197.0,0.021837526598041085,480651.64689007454,0.06725258373682579
491,198.0,0.02077259026388862,673569.4306751331,0.0863898795043044
492,199.0,0.01142085008667319,635893.5890421462,0.12539802057782615
493,200.0,0.007884671636167476,613306.7095210424,0.11619835423273916
494,201.0,0.009357219438320479,600935.164506581,0.1377493820821563
495,202.0,0.0133282624879976,1041192.0603511535,0.12712422038962112
496,203.0,0.0,,0.0
497,204.0,0.0,,0.0
